2022945,29,0,18,2
2022726,26,0,12,22
2022950,4,14,4,14
2022083,4,10,14,17
2022877,1,4,4,6
2022563,25,10,22,20
2022340,28,3,28,25
2022408,3,8,26,17
2022754,3,14,15,3
2022774,18,3,19,24
2022606,24,13,19,2
2022514,9,4,2,20
2022555,26,6,1,21
2022858,14,2,4,8
2022783,10,8,27,20
2022911,15,12,29,7
2022273,9,1,30,14
2022657,25,5,29,3
2022701,16,3,22,9
2022065,5,9,18,3
2022059,14,11,23,18
2022335,9,8,30,7
2022689,26,10,0,23
2022622,19,9,1,19
2022771,20,4,15,25
2022187,6,3,1,2
2022516,26,8,27,17
2022784,14,6,12,13
2022943,17,10,12,17
2022215,15,12,10,4
2022840,12,6,18,20
2022942,5,2,27,16
2022253,28,7,28,0
2022939,6,2,27,22
2022431,25,14,6,21
2022852,17,1,21,21
2022751,30,9,15,2
2022957,17,15,3,4
2022468,14,6,29,12
2022347,8,4,9,13
2022640,22,11,17,23
2022108,6,11,4,11
2022561,2,6,29,5
2022881,4,1,9,12
2022887,12,0,27,2
2022952,9,9,10,14
2022158,0,14,3,6
2022802,27,14,20,7
2022590,9,7,4,23
2022475,6,11,12,7
2022546,21,1,1,5
2022654,15,10,26,20
2022415,12,10,26,19
2022364,26,8,18,11
2022674,11,3,10,14
2022313,23,4,15,4
2022045,7,9,11,8
2022372,1,15,10,11
2022374,28,13,2,9
2022895,5,2,3,24
2022235,17,4,17,4
2022974,27,11,11,12
2022764,15,2,0,22
2022167,0,13,17,25
2022711,30,11,19,6
2022552,18,11,21,1
2022104,21,9,28,25
2022849,29,6,7,14
2022756,19,6,27,14
2022145,20,9,27,12
2022529,16,8,25,20
2022207,7,3,20,24
2022789,10,4,30,15
2022156,22,1,12,24
2022847,12,8,1,9
2022626,25,4,23,17
2022940,16,13,5,6
2022349,13,13,22,13
2022956,3,10,17,20
2022592,20,12,3,1
2022117,9,10,30,21
2022587,29,8,4,24
2022390,8,4,16,4
2022781,12,14,27,20
2022173,13,10,18,10
2022873,22,14,22,5
2022826,19,14,27,0
2022146,6,6,6,18
2022421,16,4,28,3
2022580,27,3,25,24
2022613,12,14,27,12
2022257,27,12,0,1
2022938,14,1,24,19
2022033,10,1,27,25
2022672,24,13,6,1
2022106,5,9,27,2
2022420,19,5,8,17
2022916,21,11,21,2
2022715,21,8,14,3
2022015,0,0,24,0
2022614,22,15,22,6
2022462,2,1,9,7
2022708,10,8,24,22
2022125,25,4,9,14
2022060,20,14,26,18
2022918,30,4,28,3
2022477,10,0,0,5
2022417,8,0,19,16
2022318,18,5,7,20
2022790,10,4,0,14
2022700,9,9,20,19
2022838,21,15,8,7
2022603,25,10,2,4
2022917,30,12,9,25
2022182,30,3,8,5
2022577,10,6,16,2
2022791,28,6,19,2
2022014,30,1,7,20
2022661,0,12,30,17
2022723,13,7,6,20
2022759,8,0,10,20
2022502,23,11,4,16
2022147,20,2,22,11
2022413,27,14,22,17
2022311,11,3,18,15
2022745,1,12,11,17
2022925,3,15,5,11
2022866,8,7,3,14
2022179,26,2,18,24
2022430,24,5,10,11
2022635,27,5,9,2
2022434,30,8,16,4
2022500,28,15,22,14
2022107,24,8,10,5
2022608,29,4,4,16
2022770,28,9,19,19
2022741,30,15,16,25
2022048,24,3,8,16
2022730,7,14,9,18
2022358,19,2,24,21
2022050,24,0,19,3
2022747,0,3,3,24
2022345,12,0,18,12
2022393,4,0,16,0
2022951,14,4,4,6
2022405,13,15,2,14
2022102,8,1,13,25
2022301,7,6,9,24
2022375,0,3,14,6
2022565,28,9,2,11
2022052,27,10,17,24
2022534,29,9,29,5
2022772,10,2,25,5
2022543,18,8,18,2
2022717,12,11,23,2
2022870,15,1,29,16
2022542,16,1,3,25
2022967,1,10,15,20
2022177,26,12,20,11
2022752,15,12,16,13
2022574,10,7,7,3
2022144,5,8,17,25
2022744,28,4,27,14
2022103,23,7,8,7
2022599,1,10,18,24
2022329,30,3,13,15
2022872,22,10,15,10
2022843,9,2,5,22
2022611,8,11,9,10
2022569,24,5,17,4
2022607,30,9,12,0
2022328,7,7,12,16
2022298,18,3,6,14
2022544,2,2,26,14
2022959,2,13,2,5
2022998,8,6,26,0
2022854,3,4,27,22
2022999,6,7,4,10
2022119,30,9,11,15
2022767,15,1,3,3
2022490,6,5,13,4
2022244,7,0,7,4
2022848,26,7,23,18
2022628,2,8,8,24
2022788,22,1,21,25
2022728,5,15,4,0
2022087,7,9,11,17
2022641,23,14,14,16
2022713,12,4,29,11
2022921,14,1,18,16
2022815,28,7,22,3
